,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
26,Airfield Operations Specialists,2.25,3.12,3,2.75,4,2.88,0,0.75,0.12,0.88,3.88,2.25,3,3.25,2,0.88,0.62,2.38,3.75,3.5,2.12,2.38,2.25,2.12,3.5,1.5,2.12,4.12,4.12,3.12,3.12,1.62,4.12,1,1.62,1.5,3.38,1.12,2,3.38,3,3.12,0.88,0.88,1,3,1.38,2.75,3.12,0.75,3.88,3.62,3.41,1.34,2.65,2.53,3.79,2.96,3.87,5.36,2.32,1.84,4.5,2.51,3.67,0.09,0.26,0.71,3.19,0.87,3.27,3.1,3.14,1.2,3.04,1.19,1.65,2.09,2.49,4.59,1.46,1.64,2.8,1.44,4.94,3.12,3.88,3.38,3.88,3.75,0,0.12,0,3.12,3.38,3,0.88,1.38,3.25,2,4,3,2.5,2.88,2.62,3.12,0.62,2.25,4,0,0.88,3.25,3,3.62,3,3.25,0.62,3,1.5,3.25,3,"Transportation, Distribution & Logistics",TransLog
27,"Airline Pilots, Copilots, and Flight Engineers",3.75,3.88,3.38,4.25,4.25,4.25,0,0.5,0,2.5,5.25,3.12,4,3.12,4,0.88,2.12,4,4.12,4,3.12,3.38,3,4.25,4,4,3.75,4.62,4.38,3.12,4.12,4,4.88,4.88,4.62,5.62,4,2.88,4.75,4,3.88,3.75,2.75,0.75,2.25,4.25,1.12,3.25,3.88,2.75,4,3.25,3.29,1.51,1.25,2.61,2.87,2.53,4.48,4.04,1.99,1.68,2.86,2.78,3.74,0.84,0.84,1.45,4.78,1.28,2.95,4.38,3.82,1.48,2.34,1.49,3.77,1.26,4.47,3.97,1.44,2.06,3.17,1.52,6.2,4,3.88,3.88,3.62,4.12,1.75,0,0,4,4.25,3.25,1.25,2.12,3.38,3.88,4.12,2.75,5.62,4.88,2.38,2.75,1.12,3.12,4,0,3.12,3,3.38,3.75,3.25,3.38,0.38,4,3.25,3.38,4,"Transportation, Distribution & Logistics",TransLog
28,Allergists and Immunologists,1,1.88,3.88,0.25,4.62,1.75,0,0,0,0,3,2.5,3.62,3.75,0,0,0,2.12,4.88,3.75,0.75,3.5,3.25,0.25,3.88,0,3.25,5.25,4.38,3.5,3.25,0,5.12,0.25,0.25,0.25,3.25,0,0,3.88,3.75,3.38,0.25,0,0,3.12,1.5,2.88,2.88,0.25,4.75,4.25,4.5,5.33,0.34,3.63,3.59,2.87,4.01,5.29,0.84,3.33,5.08,2.01,4.75,0.23,0.87,1.24,2.31,0.75,3.53,4.06,0.98,6.36,3.99,2.31,1.53,2.26,5.01,3.2,3.08,3.12,1.99,4.74,1.19,4.62,4.38,4.38,3.75,4.25,0,0.5,0,3.88,4.5,3.62,1.75,2.12,3.12,3,4.25,3,0,2.25,0.75,3.5,0.88,1.62,4.62,0,3.75,3.75,4.12,4.12,3,3.5,1.12,3.75,1.12,4.12,5,Health Science,HealthSci
29,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3,2.75,3,3.12,3.62,2.88,0,2.5,0.88,3,3.25,3,3,2.75,1.75,2.75,1.38,2.12,3.12,3,3,1.38,1.88,3.12,3.5,2.12,1.25,4,4,2.38,3.12,2.12,3.75,3,3.62,3.12,3,1.12,3.12,2.88,3.12,2.75,2.75,2.25,3.88,3.12,3,2,2.88,0.62,3.12,3,3.18,1.75,0.52,1.52,3.18,2.54,2.74,4.64,0.6,0.9,3.43,1.65,3.23,0.33,0.5,1.5,2.46,0.67,2.78,2.49,2.22,3,1.76,1.15,1.23,1.17,3.85,2.98,1.03,1.18,1.47,2.07,2.86,3,3.12,2.75,3,3,1.62,1,0,3,2.88,2.12,0.5,1.25,1.88,1.62,2.88,2.62,2.88,2.62,1.25,2.62,0.12,1.12,3.12,1.25,0.62,3.12,3.12,3,2,1.75,0.5,2.62,1.5,2.88,2,"Transportation, Distribution & Logistics",TransLog
30,Amusement and Recreation Attendants,2,2,2,2.25,2.5,1.62,0,1,0.88,1.75,2.12,2,1.88,1.75,0.88,1.5,1,1.38,2.38,2.12,2.12,1.12,1.88,2.25,2.88,0.12,1.25,3,3.75,1.75,1.88,0.25,3.12,1.5,2.25,2.12,2.12,0.38,0.62,2.88,2.75,1.75,1.12,1.88,1.75,2,2.25,0.75,1.62,1.12,2.62,2,3.41,0.73,0.55,0.76,3.94,1.69,2.71,4.58,0.69,2.18,1.8,0.81,2.69,0.74,0.84,1.18,1.04,0.66,1.06,2.37,0.78,1.1,2.1,0.78,0.73,1.43,1.23,2.02,3.15,1.08,0.81,1.02,1.03,1.75,2.5,1.88,2.5,2.62,1.12,0.25,0,1.88,2.25,1.88,0.12,0.75,1.75,2,2.38,1.75,2.75,2.25,0.12,2.5,0.5,1.12,2,1,0,2.75,2.38,2.62,1.25,1,0.38,1.75,1,2,1,Hospitality & Tourism,HospTour
31,Anesthesiologist Assistants,3.5,2.88,3.12,3.38,3.88,2.5,0.25,1.62,0,2.62,3,3.25,3.75,2.88,1,2.38,1.38,3,3.88,3.75,3.38,3,3,2.88,4.38,0,3.38,4.12,3.88,2.62,3.62,0,4.12,2,2.62,2.88,3.62,0,0,3.62,3.5,3,1.75,1.88,2.62,3,2.62,3.25,3,2.12,4.12,3.75,1.55,3.45,0.53,3.74,1.98,1.9,3.06,4.7,0.55,0.82,3.37,1.82,4.24,0.29,0.58,1.61,0.65,0.72,1.81,3.53,2.56,4.21,1.21,2.06,2.84,1.05,3.82,2.47,0.49,2.37,0.79,2.81,0.97,3.62,3.88,3.38,3.5,3.75,1.75,2.25,0.62,3.25,3.62,3.25,1.25,2,2.88,2.88,3.88,2.88,3.38,3.5,1.12,2.88,0.62,2.88,4.25,1.88,2.88,3.5,3.62,3.75,2.88,3.12,1.38,3.12,2.5,3.5,5,Health Science,HealthSci
32,Anesthesiologists,3.88,2.75,3.25,3,4.75,2.12,0,1.5,0,1.88,2.75,3.75,3.75,3.25,0.12,1.62,1.25,2.62,4.75,4.12,3.12,3.12,2.25,2.62,4.12,0,3,4.88,5,3,3.88,0,5.5,1.62,2,2.88,3.88,0,0,4,3.88,2.88,0.38,1.38,2.12,3.12,2.5,2.88,2.38,2.12,4.88,4,3.35,5.03,0.39,4.39,2.04,1.9,3.5,4.63,0.65,1.77,4.3,2.54,4.19,0.11,0.06,1.55,0.59,0.29,2.65,3.59,2.36,6.46,2.64,1.63,3.8,1.59,4.66,1.78,0.84,1.85,1.17,3.03,0.56,4.12,4.25,4,3.75,4.38,0,0.5,0,3.75,4.25,3.38,2.25,2.25,3.5,3.38,4.38,2.88,3.12,3.62,2.75,3.38,0.12,2.62,4.88,0,3.88,3.75,3.75,4,3.25,3.25,1,4,2.25,4,5,Health Science,HealthSci
33,Animal Breeders,3,1.75,3,2.75,3.12,2.12,0.12,2.5,1.12,2.5,2.88,3.12,2.75,1.75,0.88,2.12,1.75,2,3,3,2.75,2,1.5,3,3.12,0.5,2.12,3.12,3,1.88,2.62,0.5,3,1.62,1.62,2,2.25,1,1.25,2.88,2.5,1.88,1.88,2.12,2.88,1.75,3,2.12,2.5,0.88,3,2.12,3.98,3.4,2.44,2.99,3.98,2.01,3.05,5.02,1.39,3.55,2.54,2.04,3.02,0.17,1.91,0.41,1.56,0.5,2.07,3.65,3.02,2.54,1.39,0.18,1.25,3.28,1.56,1.88,4.75,1.36,1.27,0.53,2.51,2.75,3,2.88,2.25,3.25,0,0.5,0,1.62,3,2,1.62,1.75,1.75,2.12,3,1.5,2.62,2.75,1.25,2.38,0.5,2.75,2.88,0,2.88,2.12,2.38,2.75,2.25,1.88,0.25,2.75,1.62,2.75,2,"Agriculture, Food & Natural Resources",Agri
34,Animal Control Workers,2.88,2.12,3,2.5,3.38,2.25,0.38,1.88,1,2.75,3.25,2.5,2.88,2.88,1.75,2.25,1.5,2.12,3.88,2.88,2.88,1.5,1.62,2.75,3,1.12,1.25,3.88,3.88,2.62,2,1.62,3.88,2,2.25,2.38,2.75,2,1.62,3,3,2.12,1.38,1.88,3.12,3,2.62,2,2.12,0.75,3.5,3,3.56,2.54,0.85,1.93,4.42,2.48,2.82,6.19,1.04,1.91,2.96,1.17,3.72,0.02,1.66,1.41,2.26,0.02,4.36,2.21,1.98,2.13,2.33,2.54,1.26,1.74,3.26,4.03,1.17,2.33,2.24,2.1,1.69,2.88,3.38,2.75,3,3.5,0.12,0.38,0,2.62,2.88,2.62,0.75,1,2,1.25,2.88,2.5,1.5,1.75,1.38,2.88,0.38,1.25,3,0,0.25,2.88,2.88,3,1.88,2.12,0.25,2.88,0.38,2.88,2,"Law, Public Safety, Corrections & Security",LawPubSaf
35,Animal Scientists,0.62,2.25,4,2,4.38,1.88,0,0.38,0.38,0.5,3.25,1.5,3,3.75,0.75,0.62,0.25,1.25,4.88,4,0.12,3.38,2.62,2,3.88,0.38,3.5,4.88,5,3.5,2.62,0.25,4.12,0.38,0.75,0.75,2.88,0.25,0.75,4,3.75,2.38,0,0.38,0.62,2.75,1.75,2.5,3,0.75,4.75,4.5,4.37,5.78,2.85,5.04,3.89,3.27,4.3,4.11,2.81,2.93,5.48,3.56,5.26,0.07,5,2.11,3.19,1.67,3.31,5.3,2.96,2.93,3.26,2.41,3.74,3.63,2.93,3,3.74,2.15,1.58,1.78,2.78,4.38,4,4.12,3.25,4.25,0,0,0,3.38,4.5,3.25,0.88,1.5,2.88,3.5,4,2.88,2.25,2.88,3,3,1,3,4.62,0,4.38,2.88,3.38,4.12,3.62,3.88,1,3.25,1,4.25,5,"Agriculture, Food & Natural Resources",Agri
36,Animal Trainers,2.75,2.38,2.88,2.75,3.5,2.38,0.25,2.75,0.5,3.12,3.12,2.75,2.75,3.12,1.38,2.88,1.88,2.25,3.25,3,2.88,1.75,2.25,3,3.12,1.5,1.88,3.88,4,3.25,2.38,1.88,4,1.75,2.38,2.5,2.88,1.75,1.88,3,2.88,2.5,2.25,2.75,3,2.88,3,2.12,2.5,1.62,3,2.88,2.91,2.08,1.33,0.91,3.42,2.05,2.52,4.23,1.51,2.18,4.31,1.57,3.04,0.34,0.24,0.88,1.46,0.64,2.2,1.99,1.69,1.92,2.18,0.91,0.39,1.57,3.67,2.39,2.77,2.07,0.88,2.12,1.46,3.12,3,2.75,3,3.38,0,0.12,0,3.12,2.88,3.88,1.5,1.75,2.5,1.62,3.5,2.25,1.75,1.5,1,2.88,0.12,2.12,3.12,0,1.38,3,3,3,2.62,2.62,0.75,2.75,1.25,2.75,2,Hospitality & Tourism,HospTour
37,Anthropologists,0.12,0.88,4.25,0.5,4.88,1.5,0,0,0,0,3.25,1.5,3.25,4,0,0,0,1,4.88,3.88,0.12,3,2.88,0.62,3.75,0,2.25,5,5.12,3.75,2.25,0,3.88,0,0,0,2.88,0,0.12,4.62,4,3.25,0,0,0,2,1.12,2.12,2.62,0.5,5,5.12,3.21,4.08,1.04,2.07,3.96,4.46,3.93,2.68,2.07,2.07,5.46,1.15,5.39,1.25,0.89,4.29,5.26,5.75,3.04,4.11,1.11,1.89,2.56,4.43,1.32,0.71,4.3,1.07,2,6.56,0.79,1.46,1.75,4.38,4.38,4,3.25,4.5,0,0.12,0,4,4.12,4,1,1.25,2.88,3.12,3.62,2.5,0,0.62,3.12,3.12,1.25,0.75,5,0,4.62,2.62,4,4.88,3.88,3.5,0.88,3.25,0,5.12,5,"Science, Technology, Engineering & Mathematics",SciEng
38,"Anthropology and Archeology Teachers, Postsecondary",0,0.88,3.88,0,4,0.12,0,0,0,0,3,0.75,2.75,3.62,0,0,0,0.62,4,3.62,0,3.12,3,0,3.88,0,2.25,4.88,5,3.75,2,0,3.88,0,0,0,3,0,0,4.75,3.12,2.38,0,0,0,2.88,0.12,1.5,2.12,0,5,4.88,3.24,3.54,0.68,2.22,2.79,3.96,4.11,2.92,1.95,1.1,5.95,0.95,5.8,1.87,1.09,3.86,5.35,6.17,2.36,3.69,1.17,1.5,3.24,4.84,1.19,0.74,3.66,1.97,1.13,6.24,1.04,2.74,1.33,4.12,4.25,3.88,3.25,4,0,0,0,4,4,3.88,1.12,1.5,3,2.75,3.88,2.88,0,0,2.62,3.25,0.25,0.38,4.88,0,3.88,2.88,3.88,4.75,3.25,3.62,0.12,3.75,0,4.75,5,Education & Training,EduTrain
39,"Appraisers, Real Estate",1.75,1.5,3.38,1.88,4.12,2,0,0.12,0,0.38,3.25,2,3,2.88,0.75,0.75,0.38,1.38,3.88,3.38,0.88,3.12,2,1.75,4,0.62,3.12,4,4.12,2.62,2.12,0.62,3.25,0.62,1.12,1.25,2.75,0.38,1.62,2.88,3.12,2.38,0.25,0.12,0.12,2.5,0.38,2.12,3,0,4,3.88,3.95,0.4,4.35,0.11,4,2.16,4.2,3.72,2.35,3.2,2.89,1.37,4.47,0.35,0.68,0.55,3.53,1.2,4.16,4.39,1.78,0.21,2.16,0.6,0.5,2.17,1.35,2.79,3.35,1.6,1.53,0.26,2.25,3.38,3.62,3,2.5,3.88,0,0.12,0,1.88,3.88,1.75,1.75,1.62,1.62,3.62,2.62,2.38,1.62,1.5,0.62,2.5,0.38,1.25,4,0,1.38,2.75,2.75,3.75,3,2.12,0.38,2.88,0.5,3.62,4,Government & Public Administration,Govt
40,Aquacultural Managers,3,2.5,3.5,3,3.88,2.25,0,1.75,1.12,2,3.25,3,3,3.25,1.88,1.38,1.5,2.12,3.88,3.5,2.88,3,2.88,2.88,3.5,1.12,3,4,4,3.25,3,1.25,4,1.88,2.12,1.88,2.88,1.38,1.62,3.12,3.25,2.38,0.25,1.25,2,2.88,2.12,3,3,1.25,4,4,4.35,4.7,4,3.9,3.55,2.65,3.85,4.4,3.25,3.05,4.1,3.8,4,0.5,4.45,1.2,2.75,1.55,3.15,4.2,4.35,1.45,3.85,1.1,3,4.15,2.85,2.6,3.15,2.05,1.65,1.65,3.11,3.5,4,3.25,3.75,3.62,2.62,2,0,3,3.5,3,3.25,3.12,3.88,2.5,4,3.25,3,3.12,2.75,3.25,1,3.12,3.88,2,3.38,3.12,3.5,3.88,3.62,3.5,1.25,3.5,2.5,3.88,4,"Agriculture, Food & Natural Resources",Agri
41,"Arbitrators, Mediators, and Conciliators",0,1.12,3,0,4.25,0.25,0,0,0,0,2.62,1.75,2.88,3.62,0,0,0,1.12,4.12,3.38,0,2.12,2.12,0,4.5,0,1.88,5,5,3.5,2.38,0,4,0,0,0,2.5,0,0,3.75,3.88,2.62,0,0,0,2.25,0.25,1.38,1.88,0,4.5,4.5,2.93,0.26,0.46,0.11,3.52,1.71,2.36,3.79,0.61,2.21,3.21,0.25,4.68,0.25,0.22,0.46,1.3,1.18,4.39,2.63,0.3,0.57,3.32,2.71,0.11,1.18,4.48,1.36,2.54,3.67,0.5,2.96,0.96,3.75,4.88,3.5,3.38,4.62,0,0,0,2.88,4,2.75,0,0,1.88,1.5,3.75,5,0.25,0.62,1.62,4.62,0.5,0.38,4.38,0,0.75,3.25,3.75,4.5,2.88,2.88,0.5,2.88,0,4.12,5,"Law, Public Safety, Corrections & Security",LawPubSaf
42,Archeologists,2.88,1.62,4,2.62,4.38,2.75,0,2,0,2.62,4,3,4,4,2.25,2,1.75,2,4.62,4.12,2.75,3.38,2.75,2.25,4.25,0.12,3.12,4.88,5,4,2.88,0,4,0.12,0.12,0.25,3.5,0,1,4.25,3.62,3.62,0,2,2.88,2.38,2.88,3,3.75,0,4.62,4.75,4.15,2.91,1.27,2.76,4,3.67,4.27,2.48,2.39,1.88,4.94,1.88,5.45,2.06,0,4.5,5.45,6.79,2.97,3.88,2.24,1.24,3.06,3.48,1.45,1.27,1.82,2.33,1.39,6.3,1.03,0.76,1.76,4,4.12,3.88,3.75,4.12,0,0.38,0,3.75,3.88,3.75,2,2.25,3.5,3.38,3.88,2.75,1.5,2,2.38,3,1.38,1.25,4.75,0,4,2.75,3.25,4.25,3.25,3.12,1,3.25,0.38,4.75,5,"Science, Technology, Engineering & Mathematics",SciEng
43,"Architects, Except Landscape and Naval",2,2.38,4.38,2,5.12,2.75,0,0,0,0,4.25,2.75,4,4.5,0.12,0,0,1.62,4.12,4.25,1.88,4.38,2.88,1.38,4.62,0,4.25,4.88,4.88,4.38,3.12,0,4.62,0,0.12,0,3.12,0,2,3.62,3.88,3.38,0,0,0,2.62,0.25,3.25,4.88,0,4.25,4.12,4.74,1.59,5.74,2.22,4.31,2.89,4.26,5.11,6.3,3.78,3.74,5.07,4.33,3.93,0.52,1.41,4.41,3.3,4.15,4.33,3.48,1,4,2.7,3.3,3.07,3.56,4.15,4.46,3.11,2.04,1.41,3,4.25,4.12,4.12,4.12,4.62,0,0.38,0,3.25,4.5,3.38,3.5,3.25,3.62,4.38,4.38,3.75,1.75,2.25,4.25,3.88,1.5,3.25,4.62,0,3,3.5,3.5,4.12,3.5,3.75,2,3.88,1.62,4.12,4,Architecture & Construction,ArchitCons
44,Architectural and Engineering Managers,1.5,2.25,3.88,2,4.38,2.12,0,0,0,0,3.62,2.5,3.5,4,0,0,0,1.5,4.38,4,1.62,4.12,2.75,1.25,4,0,4.12,4.75,4.5,4.12,3.25,0,4.38,0,0,0,3.38,0,0.62,3.75,3.88,3.12,0,0,0,2.62,0.38,3.12,4.38,0,4.62,4.5,4.89,2.44,3.94,3.59,3.2,2.9,5.16,5.18,5.58,3.34,4.13,6.1,4.55,0.77,0.5,1.33,3.72,1.01,3.79,5.29,4.45,0.91,4.02,1.17,4.29,3.88,3.29,3.78,3.44,1.68,3.02,1.42,2.47,4.25,4.12,4.12,4.12,4.25,0,0.5,0.5,3.5,4.25,3.38,3.38,3.25,4,3.75,4.12,4,1.5,2.62,1.88,3.88,1.38,3.12,4.38,0.5,2.38,3.38,3.75,4.12,3.5,3.25,1.62,4,1.88,4.12,5,"Science, Technology, Engineering & Mathematics",SciEng
45,Architectural Drafters,3.12,1.88,3.88,2.62,3.88,2.5,0,0,0,0,3.62,3.12,3.5,3.5,0.12,0.12,0,1.38,3.62,4,2.25,3.75,2.38,1.5,4.25,0.12,3.12,4.25,3.88,3.5,3,0.12,3.88,0.12,0.12,0.12,2.75,0,1.62,2.88,3.5,2.88,0,0,1.5,1.88,0.62,3.25,4.38,1.12,4.12,3.62,2.24,0.29,5.67,0.94,2.98,1.69,4.71,3.36,6.33,0.41,3.95,4.94,4.3,2.21,0.35,1.12,2.75,2.37,3.67,3.84,2.18,0.14,0.64,1.53,2.79,3.08,1.42,3.11,1.98,2.33,1.05,0.09,1.54,3.5,3.38,3.5,3.62,3.88,0,1,0,3,3.62,3.12,2.12,2.25,3,4.12,3.62,2.75,1.38,2,2.75,2.38,2.25,3.12,3.75,0,1.62,2.62,2.88,3.5,3.5,2.88,1.38,3.5,1,3.25,4,Architecture & Construction,ArchitCons
46,"Architecture Teachers, Postsecondary",0,2.12,3.88,0,4.25,1.25,0,0,0,0,3.12,1.88,3,3.75,0,0,0,1.12,4,3.75,0,3.38,2.88,0,3.88,0,3.12,5.12,5.12,4.12,2,0,3.75,0,0,0,2.5,0,0.62,5,3.25,2.38,0,0,0,2.5,1.88,2.12,4,0,5,5,3.66,3.46,5.34,3.08,3.39,4.64,4.81,3.66,6.2,2.95,6.08,5.81,5.71,5.38,0.98,2.97,4.46,4.8,3.93,4.46,3.55,0.59,3.93,4.51,3.81,1.81,3.49,4.01,2.64,4.67,2.46,2.29,2.67,4.38,4.25,4.25,3.38,4.5,0,0,0,4.62,4.12,4.38,1.12,1.75,3.12,3.75,4.12,2.88,0,0.62,3,3.5,0.62,0.88,5,0,2.38,3.12,3.5,4.75,3.25,3.25,0.88,3.5,0,5,5,Education & Training,EduTrain
47,Archivists,1.62,1.12,4,0.25,3.5,0.75,0,0.75,0,1.25,2.88,2.38,2.38,3.25,0,0.5,0.88,1.5,3.25,3.75,1.12,2.12,2.12,1.5,4.12,0,2.38,4,4,3,2.25,0,3.12,0,0,0,2.75,0,0,3,2.88,2.25,0,0.75,1.88,2.12,1.5,2.75,2.38,0,4.12,4,4.35,0.97,0.94,2.03,5.12,3.31,4.44,4.75,1.5,1.44,3.97,1.06,4.84,1.88,0.09,2.62,2.94,5.03,3.56,2.41,0.97,0.31,3.22,2.53,0.34,1.59,1.91,2.66,2,3.34,1.25,0.59,1.1,3.12,3.88,3.25,3.12,3.75,0,0,0,3.12,3.12,3.12,1.88,2.38,3.12,1.88,3.12,2.62,0,1.12,1.88,2.75,1.25,0.88,4,0,1.25,3,3,3.75,3,2.5,0.5,3,0.25,3.88,5,Education & Training,EduTrain
48,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.38,1.75,3.25,0.25,4,0.5,0,0,0,0,2.88,1.38,2.12,3.38,0,0,0,0.88,4,3.25,0.25,2.25,3,0,3.5,0,2.25,5,5,3.75,2.25,0,3.12,0,0,0,2.5,0,0,4.75,3.25,2,0,0,0,2.75,1.25,0.75,2,0,4.88,4.88,3.67,2.49,0.13,0.56,3.74,3.46,4.37,4.01,2.09,1.43,5.85,0.52,5.89,2.79,0.44,5.48,5.26,5.13,3.91,3.12,0.44,1.48,2.71,4.5,0.58,1.62,4.37,0.93,2.58,5.87,1.29,3.17,1.05,4,4.38,3.75,3,4.25,0,0,0,3.88,3.75,4.12,0.62,1.12,3,2.25,4,2.38,0,0.38,2.62,3.12,0.62,0.75,5,0,3.75,3,3.38,4.75,3,3.12,0.5,3.5,0,4.75,5,Education & Training,EduTrain
49,Art Directors,2,1.75,4,1.5,4,1.12,0,0,0,0,3.62,2.38,3,4,0,0,0,1,3.75,3.88,2,3.25,2.62,0,4.12,0,2.62,4,4.12,4.38,2.88,0,3.62,0.88,0.88,0,2.75,0,0,3.5,3.62,3,0,0,0,2.5,0.25,4.12,4,0.25,3.88,3.88,4.5,0.57,1.1,0.39,4,5.5,5.17,4.85,4.1,2.18,3.22,2.26,5.06,5.03,0.51,0.91,2.9,1.97,2.1,3.15,1.12,0.69,3.14,2.06,0.43,2.92,2.62,0.67,5.19,4.35,2.73,1.43,1.23,3.75,4,3.62,4.12,4,0.88,1.25,0,3.62,3.75,3.25,3.38,2.88,3.5,2.88,3.75,3.5,0.12,1.38,3.25,3.62,0.88,2.38,3.88,1,0.38,3.25,3.12,4,3,3.5,1,3.88,1.25,4,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
50,Art Therapists,3,1.38,3.38,1.62,4,0.38,0,0,1.12,0,3,3,2.88,3.88,0.25,0.75,0.88,1.5,3.88,3.62,2.25,2,2.38,1.25,3.62,0,1.88,4.38,4.38,3.75,2.25,0.25,4.12,0,1.25,1,2.88,0.12,0.12,3.62,3.88,2.5,0,0.75,1.5,2.25,0.75,3.25,3.12,0.62,4,4.12,2.9,1.33,0.38,1.24,3.5,2.85,2.71,5.62,1.48,1.24,4.86,0.43,4.57,4.81,0,1.14,1.8,1.57,2.8,1.4,1.19,2.38,1.86,3.86,0.48,0.62,6.43,2.29,2.14,4.29,0.67,6.71,1.14,3.88,4.38,3.5,3.38,4.12,0,1.25,0,3.38,3.75,3.62,0.38,1,3,2.12,3.88,3.25,0.5,0.75,1.62,3.38,0.75,1,4.12,0,2.12,4,4.88,4.25,3.25,3.38,1.38,3.12,0,4,5,Health Science,HealthSci
51,"Art, Drama, and Music Teachers, Postsecondary",2,2.25,3.75,1.62,3.75,0.88,0,0,0,0,3.12,2.12,2.38,4,0,0,0,2.12,3.75,3.62,2,2,3.25,0.75,3.88,0,1.75,4.75,4.88,4,2,0,3.12,0,0,0,2.88,0,0.25,4.75,3.75,2.12,0,0,0.25,2.5,1.75,2.88,2.88,0,4.75,4.62,3.04,0.48,1.33,0.9,3.02,4.18,3.98,2.84,2.72,0.76,5.81,1.29,5.48,6.82,0,2.39,2.58,4.35,1.81,2.43,1.26,0.29,2.24,4.79,1.14,0.33,3.4,0.87,1.88,3.49,1.06,2.2,0.87,4,4,3.38,3.25,4,0,0.5,0,4.62,3.75,4,1.88,2.25,3.12,2.25,4,2.75,0,0.38,2.62,3.12,0.12,0.62,4.62,0,1.38,3.25,3.75,4.5,3.12,2.88,0.38,4,0,4.12,5,Education & Training,EduTrain
52,Assessors,2,2,3.75,1.88,4,2,0,0.5,0,1,3.25,2,3,3.12,0.38,1.5,1,2,3.62,3.75,1.38,3.75,2.25,1.38,4.12,0.62,3.75,4,4,3,3,0.62,3.12,0.75,0.75,0.75,2.88,0.38,1,3.5,3.75,2.75,0.75,1.12,0.75,2.62,2,2.25,2.25,0,4,3.88,3.63,0.37,3.52,0.3,4.77,2.14,4.17,5.14,2.56,3.6,3.53,1.08,3.98,0.24,1.3,0.51,3.81,1.08,4.12,4.63,1.26,0.15,2.3,0.57,0.38,1.31,2.1,2.34,1.48,0.91,1.22,0.5,1.6,3.38,4,3.12,2.75,4,0,0,0,2.38,3.75,2.38,1.12,0.88,2.25,4,3,2.88,1.75,2.25,1.12,3,0.88,2.5,3.88,0,0.62,3.12,3.12,3.88,2.62,2.38,0.12,3,1,3.88,3,Government & Public Administration,Govt
